closeness_centrality,[5. 2.]
68,"[tensor(1.8786), tensor(1.8855), tensor(1.7353), tensor(1.7839), tensor(1.9111), tensor(1.9636), tensor(1.8318), tensor(1.9669), tensor(1.7461), tensor(1.8505)]"
69,"[tensor(1.8804), tensor(1.8613), tensor(1.9600), tensor(1.9624), tensor(1.7462), tensor(1.7438), tensor(1.8822), tensor(1.8054), tensor(1.9543), tensor(1.8853)]"
70,"[tensor(1.8871), tensor(1.8993), tensor(1.7471), tensor(1.7904), tensor(1.9293), tensor(1.9829), tensor(1.8517), tensor(1.9880), tensor(1.7490), tensor(1.8643)]"
71,"[tensor(1.8844), tensor(1.8606), tensor(1.9781), tensor(1.9826), tensor(1.7590), tensor(1.7551), tensor(1.8929), tensor(1.8115), tensor(1.9751), tensor(1.9103)]"
72,"[tensor(1.9009), tensor(1.9180), tensor(1.7666), tensor(1.8036), tensor(1.9409), tensor(1.9990), tensor(1.8584), tensor(2.0001), tensor(1.7568), tensor(1.8622)]"
73,"[tensor(1.8897), tensor(1.8480), tensor(1.9896), tensor(1.9924), tensor(1.7780), tensor(1.7683), tensor(1.9047), tensor(1.8230), tensor(1.9886), tensor(1.9314)]"
74,"[tensor(1.9229), tensor(1.9402), tensor(1.7871), tensor(1.8201), tensor(1.9486), tensor(2.0089), tensor(1.8854), tensor(2.0071), tensor(1.7720), tensor(1.8516)]"
75,"[tensor(1.8834), tensor(1.8358), tensor(2.0023), tensor(1.9995), tensor(1.7979), tensor(1.7916), tensor(1.9079), tensor(1.8391), tensor(2.0011), tensor(1.9523)]"
76,"[tensor(1.9393), tensor(1.9637), tensor(1.8014), tensor(1.8259), tensor(1.9585), tensor(2.0173), tensor(1.9045), tensor(2.0112), tensor(1.7819), tensor(1.8386)]"
77,"[tensor(1.8771), tensor(1.8240), tensor(2.0111), tensor(2.0050), tensor(1.8098), tensor(1.8141), tensor(1.9116), tensor(1.8449), tensor(2.0129), tensor(1.9764)]"
78,"[tensor(1.9540), tensor(1.9836), tensor(1.8085), tensor(1.8366), tensor(1.9635), tensor(2.0215), tensor(1.9167), tensor(2.0137), tensor(1.7953), tensor(1.8239)]"
79,"[tensor(1.8754), tensor(1.8126), tensor(2.0208), tensor(2.0067), tensor(1.8188), tensor(1.8225), tensor(1.9170), tensor(1.8528), tensor(2.0218), tensor(1.9916)]"
80,"[tensor(1.9654), tensor(1.9977), tensor(1.8064), tensor(1.8499), tensor(1.9697), tensor(2.0263), tensor(1.9307), tensor(2.0136), tensor(1.8030), tensor(1.8109)]"
81,"[tensor(1.8886), tensor(1.8212), tensor(2.0301), tensor(2.0124), tensor(1.8190), tensor(1.8257), tensor(1.9265), tensor(1.8570), tensor(2.0318), tensor(2.0012)]"
82,"[tensor(1.9814), tensor(2.0106), tensor(1.8084), tensor(1.8543), tensor(1.9768), tensor(2.0382), tensor(1.9440), tensor(2.0225), tensor(1.8080), tensor(1.8255)]"
83,"[tensor(1.8982), tensor(1.8253), tensor(2.0440), tensor(2.0243), tensor(1.8311), tensor(1.8256), tensor(1.9402), tensor(1.8714), tensor(2.0447), tensor(2.0181)]"
84,"[tensor(2.0030), tensor(2.0310), tensor(1.8203), tensor(1.8661), tensor(1.9936), tensor(2.0521), tensor(1.9758), tensor(2.0325), tensor(1.8227), tensor(1.8346)]"
85,"[tensor(1.9292), tensor(1.8474), tensor(2.0570), tensor(2.0379), tensor(1.8501), tensor(1.8300), tensor(1.9596), tensor(1.8956), tensor(2.0576), tensor(2.0515)]"
