closeness_centrality,[5.]
76,"[tensor(2.2250), tensor(2.2259), tensor(2.2303), tensor(2.2366), tensor(2.2252), tensor(2.2211), tensor(2.2282), tensor(2.2441), tensor(2.2221), tensor(2.2244)]"
77,"[tensor(2.2297), tensor(2.2217), tensor(2.2245), tensor(2.2270), tensor(2.2224), tensor(2.2133), tensor(2.2253), tensor(2.2384), tensor(2.2153), tensor(2.2241)]"
78,"[tensor(2.2178), tensor(2.2197), tensor(2.2258), tensor(2.2314), tensor(2.2242), tensor(2.2227), tensor(2.2227), tensor(2.2541), tensor(2.2169), tensor(2.2215)]"
79,"[tensor(2.2248), tensor(2.2149), tensor(2.2175), tensor(2.2209), tensor(2.2153), tensor(2.2076), tensor(2.2184), tensor(2.2313), tensor(2.2052), tensor(2.2171)]"
80,"[tensor(2.2106), tensor(2.2138), tensor(2.2189), tensor(2.2252), tensor(2.2101), tensor(2.2186), tensor(2.2160), tensor(2.2417), tensor(2.2103), tensor(2.2095)]"
81,"[tensor(2.2163), tensor(2.2071), tensor(2.2069), tensor(2.2135), tensor(2.2062), tensor(2.2019), tensor(2.2090), tensor(2.2247), tensor(2.2001), tensor(2.2091)]"
82,"[tensor(2.2039), tensor(2.2070), tensor(2.2102), tensor(2.2185), tensor(2.1988), tensor(2.2045), tensor(2.2078), tensor(2.2322), tensor(2.2050), tensor(2.2015)]"
83,"[tensor(2.2069), tensor(2.1972), tensor(2.1984), tensor(2.2017), tensor(2.1975), tensor(2.1950), tensor(2.1973), tensor(2.2171), tensor(2.1919), tensor(2.2016)]"
84,"[tensor(2.1966), tensor(2.2002), tensor(2.2024), tensor(2.2113), tensor(2.1904), tensor(2.1916), tensor(2.2001), tensor(2.2206), tensor(2.1971), tensor(2.1935)]"
85,"[tensor(2.1954), tensor(2.1864), tensor(2.1858), tensor(2.1909), tensor(2.1895), tensor(2.1847), tensor(2.1853), tensor(2.2104), tensor(2.1800), tensor(2.1921)]"
86,"[tensor(2.1879), tensor(2.1908), tensor(2.1938), tensor(2.2028), tensor(2.1797), tensor(2.1788), tensor(2.1923), tensor(2.2069), tensor(2.1873), tensor(2.1836)]"
87,"[tensor(2.1856), tensor(2.1762), tensor(2.1765), tensor(2.1818), tensor(2.1804), tensor(2.1790), tensor(2.1756), tensor(2.2032), tensor(2.1689), tensor(2.1825)]"
88,"[tensor(2.1799), tensor(2.1830), tensor(2.1888), tensor(2.1958), tensor(2.1707), tensor(2.1686), tensor(2.1844), tensor(2.1956), tensor(2.1829), tensor(2.1734)]"
89,"[tensor(2.1771), tensor(2.1687), tensor(2.1682), tensor(2.1738), tensor(2.1737), tensor(2.1712), tensor(2.1672), tensor(2.1984), tensor(2.1600), tensor(2.1786)]"
90,"[tensor(2.1730), tensor(2.1769), tensor(2.1827), tensor(2.1902), tensor(2.1626), tensor(2.1631), tensor(2.1780), tensor(2.1898), tensor(2.1766), tensor(2.1679)]"
91,"[tensor(2.1702), tensor(2.1633), tensor(2.1628), tensor(2.1677), tensor(2.1674), tensor(2.1647), tensor(2.1602), tensor(2.1946), tensor(2.1538), tensor(2.1737)]"
92,"[tensor(2.1660), tensor(2.1714), tensor(2.1769), tensor(2.1847), tensor(2.1571), tensor(2.1573), tensor(2.1724), tensor(2.1873), tensor(2.1708), tensor(2.1612)]"
93,"[tensor(2.1643), tensor(2.1559), tensor(2.1568), tensor(2.1624), tensor(2.1610), tensor(2.1539), tensor(2.1541), tensor(2.1901), tensor(2.1469), tensor(2.1676)]"
94,"[tensor(2.1585), tensor(2.1633), tensor(2.1712), tensor(2.1780), tensor(2.1522), tensor(2.1515), tensor(2.1645), tensor(2.1803), tensor(2.1628), tensor(2.1558)]"
95,"[tensor(2.1588), tensor(2.1511), tensor(2.1527), tensor(2.1572), tensor(2.1534), tensor(2.1408), tensor(2.1482), tensor(2.1830), tensor(2.1436), tensor(2.1599)]"
96,"[tensor(2.1502), tensor(2.1541), tensor(2.1635), tensor(2.1688), tensor(2.1479), tensor(2.1458), tensor(2.1554), tensor(2.1752), tensor(2.1520), tensor(2.1514)]"
97,"[tensor(2.1545), tensor(2.1454), tensor(2.1467), tensor(2.1498), tensor(2.1453), tensor(2.1316), tensor(2.1425), tensor(2.1754), tensor(2.1368), tensor(2.1508)]"
98,"[tensor(2.1429), tensor(2.1457), tensor(2.1561), tensor(2.1605), tensor(2.1432), tensor(2.1395), tensor(2.1466), tensor(2.1705), tensor(2.1430), tensor(2.1453)]"
99,"[tensor(2.1476), tensor(2.1389), tensor(2.1401), tensor(2.1454), tensor(2.1379), tensor(2.1243), tensor(2.1370), tensor(2.1687), tensor(2.1323), tensor(2.1422)]"
