out_deg_centrality,[8.]
64,"[tensor(1.7853), tensor(1.7715), tensor(1.8159), tensor(1.8580), tensor(1.7851), tensor(1.8524), tensor(1.7644), tensor(1.8071), tensor(1.9056), tensor(1.8016)]"
65,"[tensor(1.8474), tensor(1.8213), tensor(1.8767), tensor(1.8195), tensor(1.8407), tensor(1.8336), tensor(1.8682), tensor(1.8899), tensor(1.7491), tensor(1.8612)]"
66,"[tensor(1.8094), tensor(1.7948), tensor(1.8138), tensor(1.8698), tensor(1.7974), tensor(1.8765), tensor(1.7793), tensor(1.7986), tensor(1.9026), tensor(1.8125)]"
67,"[tensor(1.8497), tensor(1.8148), tensor(1.8610), tensor(1.8269), tensor(1.8497), tensor(1.8321), tensor(1.8567), tensor(1.8875), tensor(1.7877), tensor(1.8663)]"
68,"[tensor(1.8156), tensor(1.8049), tensor(1.8369), tensor(1.8616), tensor(1.7886), tensor(1.8719), tensor(1.7950), tensor(1.8334), tensor(1.8770), tensor(1.8360)]"
69,"[tensor(1.8373), tensor(1.8056), tensor(1.8471), tensor(1.8418), tensor(1.8576), tensor(1.8607), tensor(1.8350), tensor(1.8558), tensor(1.8389), tensor(1.8534)]"
70,"[tensor(1.8335), tensor(1.8089), tensor(1.8714), tensor(1.8541), tensor(1.7919), tensor(1.8535), tensor(1.8210), tensor(1.8754), tensor(1.8487), tensor(1.8649)]"
71,"[tensor(1.8260), tensor(1.8030), tensor(1.8305), tensor(1.8780), tensor(1.8675), tensor(1.8889), tensor(1.8094), tensor(1.8332), tensor(1.8796), tensor(1.8386)]"
72,"[tensor(1.8582), tensor(1.8207), tensor(1.9008), tensor(1.8465), tensor(1.7916), tensor(1.8362), tensor(1.8434), tensor(1.9034), tensor(1.8327), tensor(1.9024)]"
73,"[tensor(1.8312), tensor(1.8230), tensor(1.8294), tensor(1.9098), tensor(1.8732), tensor(1.9168), tensor(1.8187), tensor(1.8247), tensor(1.9093), tensor(1.8311)]"
74,"[tensor(1.8925), tensor(1.8574), tensor(1.9247), tensor(1.8433), tensor(1.8003), tensor(1.8264), tensor(1.8768), tensor(1.9230), tensor(1.8207), tensor(1.9319)]"
75,"[tensor(1.8377), tensor(1.8405), tensor(1.8254), tensor(1.9316), tensor(1.8847), tensor(1.9340), tensor(1.8164), tensor(1.8173), tensor(1.9326), tensor(1.8316)]"
76,"[tensor(1.9092), tensor(1.8748), tensor(1.9374), tensor(1.8434), tensor(1.8038), tensor(1.8216), tensor(1.8934), tensor(1.9373), tensor(1.8075), tensor(1.9533)]"
77,"[tensor(1.8332), tensor(1.8431), tensor(1.8163), tensor(1.9470), tensor(1.8895), tensor(1.9461), tensor(1.8067), tensor(1.8068), tensor(1.9523), tensor(1.8250)]"
78,"[tensor(1.9269), tensor(1.8829), tensor(1.9492), tensor(1.8368), tensor(1.8059), tensor(1.8096), tensor(1.9086), tensor(1.9486), tensor(1.7898), tensor(1.9684)]"
79,"[tensor(1.8322), tensor(1.8463), tensor(1.8075), tensor(1.9555), tensor(1.8998), tensor(1.9585), tensor(1.8027), tensor(1.7919), tensor(1.9625), tensor(1.8182)]"
